name,N,min,mean,median,max,sd,cv
pub_year,241,1985,2006.45,2011,2019,9.7,0.004834409030875426
study_duration,241,1,2.28,2,3,0.5,0.2192982456140351
pH,90,5.5,6.04,6.2,6.9,0.4,0.06622516556291391
cc_bio_Mgha,186,0,4.53,3.7,12.9,2.6,0.5739514348785871
LRRyield,144,-3.5,0.06,-0,3.4,0.5,8.333333333333334
LRRden,139,-3.6,-0.51,-0.5,2,0.9,-1.7647058823529411
LRRbio,142,-4.5,-0.19,-0.2,2.8,1.1,-5.7894736842105265
