pval,avg,cilo,cihi,studylo
0.19,-0.22,-0.58,0.13,NA
0.14,-0.27,-0.65,0.11,7
0.2,-0.24,-0.62,0.15,8
0.28,-0.18,-0.54,0.18,10
0.25,-0.21,-0.6,0.18,11
0.26,-0.21,-0.6,0.18,14
0.41,-0.12,-0.44,0.19,16
0.2,-0.24,-0.63,0.15,17
0.09,-0.29,-0.64,0.06,18
0.21,-0.24,-0.63,0.16,19
0.25,-0.21,-0.6,0.18,22
0.09,-0.29,-0.64,0.06,23
0.33,-0.16,-0.51,0.19,25
0.2,-0.24,-0.64,0.15,27
0.21,-0.23,-0.6,0.15,28
